DATA,Temperatura media,Temperatura massima,Temperatura minima,Temperatura classe,Gradi Giorno riscaldamento base 20 (°C),Gradi Giorno riscaldamento base 18 (°C),Gradi Giorno raffrescamento base 21 (°C)
2024-01-01,2.8,5.6,0.7,AZ00,16.9,14.9,0
2024-01-02,2.1,6.1,-0.8,AZ00,17.4,15.4,0
2024-01-03,3.0,9.3,-1.1,AZ00,15.9,13.9,0
2024-01-04,7.1,16.0,-0.8,AZ00,12.4,10.4,0
2024-01-05,4.9,7.6,2.4,AZ00,15,13,0
2024-01-06,4.6,8.7,1.1,AZ00,15.1,13.1,0
2024-01-07,7.1,10.8,4.0,AZ00,12.6,10.6,0
2024-01-08,6.2,7.2,5.2,AZ00,13.8,11.8,0
2024-01-09,5.2,6.5,3.7,AZ00,14.9,12.9,0
2024-01-10,4.0,4.8,2.9,AZ00,16.2,14.2,0
2024-01-11,3.1,7.5,-0.2,AZ00,16.4,14.4,0
2024-01-12,0.8,6.1,-2.0,AZ00,18,16,0
2024-01-13,-0.4,4.6,-2.5,AZ00,19,17,0
2024-01-14,0.3,6.4,-3.1,AZ00,18.4,16.4,0
2024-01-15,3.0,8.2,-0.1,AZ00,16,14,0
2024-01-16,1.0,5.1,-2.8,AZ00,18.9,16.9,0
2024-01-17,2.6,5.3,-0.1,AZ00,17.4,15.4,0
2024-01-18,2.4,5.3,0.4,AZ00,17.2,15.2,0
2024-01-19,2.3,5.3,-0.3,AZ00,17.5,15.5,0
2024-01-20,3.4,9.7,-2.0,AZ00,16.2,14.2,0
2024-01-21,-0.1,5.1,-4.1,AZ00,19.5,17.5,0
2024-01-22,0.5,6.7,-4.2,AZ00,18.8,16.8,0
2024-01-23,4.1,13.5,-1.7,AZ00,14.1,12.1,0
2024-01-24,4.1,11.8,-0.2,AZ00,14.2,12.2,0
2024-01-25,5.7,16.3,-0.8,AZ00,12.3,10.3,0
2024-01-26,2.3,6.4,-0.4,AZ00,17,15,0
2024-01-27,5.8,17.6,-1.4,AY**,11.9,9.9,0
2024-01-28,5.5,12.7,0.6,AZ00,13.4,11.4,0
2024-01-29,3.1,10.8,-1.4,AZ00,15.3,13.3,0
2024-01-30,3.4,10.5,-0.8,AZ00,15.2,13.2,0
2024-01-31,4.0,11.8,-1.1,AZ00,14.7,12.7,0
2024-02-01,3.3,10.6,-0.9,AZ00,15.2,13.2,0
2024-02-02,5.6,16.0,-1.6,AZ00,12.8,10.8,0
2024-02-03,7.8,18.1,1.3,AZ00,10.3,8.3,0
2024-02-04,9.1,19.9,2.5,AZ00,8.8,6.8,0
2024-02-05,9.1,17.9,3.4,AZ00,9.4,7.4,0
2024-02-06,7.0,9.6,3.5,AZ00,13.5,11.5,0
2024-02-07,8.9,13.5,5.6,AZ00,10.5,8.5,0
2024-02-08,7.9,12.2,2.6,AZ00,12.6,10.6,0
2024-02-09,8.5,8.9,8.2,AZ00,11.5,9.5,0
2024-02-10,8.2,8.6,7.4,AZ00,12,10,0
2024-02-11,8.4,13.1,3.5,AZ00,11.7,9.7,0
2024-02-12,6.6,12.5,1.4,AZ00,13.1,11.1,0
2024-02-13,6.9,16.1,0.6,AZ00,11.7,9.7,0
2024-02-14,7.0,15.5,0.6,AZ00,12,10,0
2024-02-15,7.2,14.3,2.0,AZ00,11.9,9.9,0
2024-02-16,8.0,13.6,3.5,AZ00,11.5,9.5,0
2024-02-17,8.6,17.0,2.2,AZ00,10.4,8.4,0
2024-02-18,9.3,16.3,3.3,AZ00,10.2,8.2,0
2024-02-19,10.2,18.8,3.7,AZ00,8.8,6.8,0
2024-02-20,10.1,18.0,4.2,AZ00,8.9,6.9,0
2024-02-21,9.1,14.6,2.9,AZ00,11.3,9.3,0
2024-02-22,9.1,12.1,6.2,AZ00,10.9,8.9,0
2024-02-23,8.5,12.7,4.1,AZ00,11.6,9.6,0
2024-02-24,6.9,10.2,3.3,AZ00,13.3,11.3,0
2024-02-25,8.2,12.2,5.2,AZ00,11.3,9.3,0
2024-02-26,5.2,6.5,4.3,AZ00,14.6,12.6,0
2024-02-27,6.6,8.3,4.9,AZ00,13.4,11.4,0
2024-02-28,9.5,12.1,7.8,AZ00,10.1,8.1,0
2024-02-29,10.3,14.0,8.4,AZ00,8.8,6.8,0
2024-03-01,9.5,10.7,7.4,AZ00,11,9,0
2024-03-02,9.4,11.8,7.4,AZ00,10.4,8.4,0
2024-03-03,8.5,10.3,6.8,AZ00,11.5,9.5,0
2024-03-04,10.0,15.2,5.8,AZ00,9.5,7.5,0
2024-03-05,9.4,15.4,5.5,AZ00,9.6,7.6,0
2024-03-06,9.1,14.8,4.6,AZ00,10.3,8.3,0
2024-03-07,8.2,15.6,1.2,AZ00,11.6,9.6,0
2024-03-08,6.7,8.3,4.6,AZ00,13.6,11.6,0
2024-03-09,6.6,7.5,5.7,AZ00,13.4,11.4,0
2024-03-10,7.0,10.0,4.9,AZ00,12.6,10.6,0
2024-03-11,8.9,14.0,5.2,AZ00,10.4,8.4,0
2024-03-12,10.5,19.3,2.2,AZ00,9.3,7.3,0
2024-03-13,10.9,19.1,3.3,AZ00,8.8,6.8,0
2024-03-14,11.2,18.3,4.6,AZ00,8.6,6.6,0
2024-03-15,12.2,18.2,7.4,AZ00,7.2,5.2,0
2024-03-16,12.8,20.0,6.4,AZ00,6.8,4.8,0
2024-03-17,12.6,18.5,7.8,AZ00,6.9,4.9,0
2024-03-18,12.8,18.5,8.5,AZ00,6.5,4.5,0
2024-03-19,13.1,20.8,7.7,AZ00,5.8,3.8,0
2024-03-20,12.9,17.6,9.9,AZ00,6.3,4.3,0
2024-03-21,13.8,21.3,7.3,AZ00,5.7,3.7,0
2024-03-22,13.6,20.4,8.4,AZ00,5.6,3.6,0
2024-03-23,14.5,22.0,8.1,AZ00,5,0,0
2024-03-24,13.1,17.5,5.3,AZ00,8.6,6.6,0
2024-03-25,9.9,14.5,1.8,AZ00,11.9,9.9,0
2024-03-26,7.5,11.2,6.3,AZ00,11.3,9.3,0
2024-03-27,7.0,10.2,5.0,AY**,12.4,10.4,0
2024-03-28,8.3,12.8,5.2,AZ00,11,9,0
2024-03-29,8.8,9.9,7.2,AZ00,11.5,9.5,0
2024-03-30,9.5,10.3,8.3,AZ00,10.7,8.7,0
2024-03-31,11.2,14.7,7.9,AZ00,8.7,6.7,0
2024-04-01,13.6,21.0,7.7,AZ00,5.7,3.7,0
2024-04-02,13.2,20.8,4.8,AZ00,7.2,5.2,0
2024-04-03,13.2,17.2,10.4,AZ00,6.2,4.2,0
2024-04-04,13.8,19.7,7.9,AZ00,6.2,4.2,0
2024-04-05,14.7,19.4,10.2,AZ00,5.2,3.2,0
2024-04-06,15.7,22.5,9.5,AZ00,4,0,0
2024-04-07,16.9,22.7,10.7,AZ00,3.3,0,0
2024-04-08,18.2,24.1,12.3,AZ00,1.8,0,0
2024-04-09,12.4,15.0,9.7,AZ00,7.7,5.7,0
2024-04-10,10.8,14.9,8.2,AZ00,8.5,6.5,0
2024-04-11,15.9,23.3,9.5,AZ00,3.6,0,0
2024-04-12,17.8,25.7,10.6,AZ00,1.9,0,0
2024-04-13,18.8,27.1,11.2,AZ00,0.9,0,0
2024-04-14,19.9,28.0,12.2,AZ00,0,0,0
2024-04-15,17.3,22.8,12.4,AZ00,2.4,0,0
2024-04-16,16.7,21.2,11.2,AZ00,3.8,0,0
2024-04-17,12.9,19.1,4.8,AZ00,8.1,6.1,0
2024-04-18,9.0,14.7,2.8,AZ00,11.3,9.3,0
2024-04-19,10.9,19.4,0.9,AZ00,9.9,7.9,0
2024-04-20,13.3,18.8,6.7,AZ00,7.3,5.3,0
2024-04-21,10.5,16.4,2.9,AZ00,10.4,8.4,0
2024-04-22,6.0,8.0,4.6,AZ00,13.7,11.7,0
2024-04-23,7.4,13.7,3.9,AZ00,11.2,9.2,0
2024-04-24,9.9,16.9,2.1,AZ00,10.5,8.5,0
2024-04-25,10.8,16.9,5.2,AZ00,9,7,0
2024-04-26,9.5,10.8,8.7,AZ00,10.3,8.3,0
2024-04-27,9.8,11.1,8.8,AZ00,10.1,8.1,0
2024-04-28,10.1,12.6,8.9,AZ00,9.3,7.3,0
2024-04-29,14.5,20.9,7.9,AZ00,5.6,3.6,0
2024-04-30,16.6,21.8,11.4,AY**,3.4,0,0
2024-05-01,12.8,13.9,11.6,AZ00,7.3,5.3,0
2024-05-02,11.8,13.4,10.3,AZ00,8.2,6.2,0
2024-05-03,14.0,21.1,9.5,AZ00,4.7,0,0
2024-05-04,14.5,20.9,8.0,AZ00,5.6,3.6,0
2024-05-05,16.0,21.3,10.0,AZ00,4.4,0,0
2024-05-06,13.9,16.8,12.0,AZ00,5.6,3.6,0
2024-05-07,11.6,13.1,10.1,AZ00,8.4,6.4,0
2024-05-08,16.2,23.3,10.0,AZ00,3.4,0,0
2024-05-09,18.0,24.1,13.0,AZ00,1.5,0,0
2024-05-10,18.5,24.6,11.9,AZ00,1.8,0,0
2024-05-11,19.9,25.9,14.5,AZ00,0,0,0
2024-05-12,19.3,25.8,14.3,AZ00,0,0,0
2024-05-13,17.0,22.2,14.2,AZ00,1.8,0,0
2024-05-14,15.4,18.2,13.5,AZ00,4.2,0,0
2024-05-15,13.0,14.5,12.2,AZ00,6.7,4.7,0
2024-05-16,13.1,16.3,11.0,AZ00,6.4,4.4,0
2024-05-17,15.5,21.5,9.7,AZ00,4.4,0,0
2024-05-18,16.4,21.4,11.2,AZ00,3.7,0,0
2024-05-19,17.2,22.8,10.6,AZ00,3.3,0,0
